name,tvt
05_01_00001,train
05_01_00002,train
05_01_00003,train
05_01_00004,valid
05_01_00005,valid
05_01_00006,test
05_01_00007,test
05_01_00008,valid
05_01_00009,valid
05_01_00010,test
05_01_00011,valid
05_01_00012,valid
05_01_00013,valid
05_01_00014,valid
05_01_00015,valid
05_01_00016,test
05_01_00017,test
05_01_00018,valid
05_01_00019,valid
05_01_00020,valid
05_01_00021,valid
05_01_00022,valid
05_01_00023,valid
05_01_00024,valid
05_01_00025,valid
05_01_00026,valid
05_01_00027,valid
05_01_00028,test
05_01_00029,valid
05_01_00030,valid
05_01_00031,test
05_01_00032,valid
05_01_00033,test
05_01_00034,test
05_01_00035,valid
05_01_00036,valid
05_01_00037,valid
05_01_00038,test
05_01_00039,valid
05_01_00040,valid
05_01_00041,valid
05_01_00042,valid
05_01_00043,valid
05_01_00044,valid
05_01_00045,valid
05_01_00046,test
05_01_00047,valid
05_01_00048,test
05_01_00049,valid
05_01_00050,valid
05_01_00051,valid
05_01_00052,test
05_01_00053,valid
05_01_00054,valid
05_01_00055,valid
05_01_00056,valid
05_01_00057,valid
05_01_00058,valid
05_01_00059,test
05_01_00060,valid
05_01_00061,valid
05_01_00062,valid
05_01_00063,test
05_01_00064,valid
05_01_00065,valid
05_01_00066,valid
05_01_00067,valid
05_01_00068,valid
05_01_00069,valid
05_01_00070,test
05_01_00071,valid
05_01_00072,test
05_01_00073,test
05_01_00074,valid
05_01_00075,valid
05_01_00076,valid
05_01_00077,valid
05_01_00078,valid
05_01_00079,valid
05_01_00080,test
05_01_00081,valid
05_01_00082,valid
05_01_00083,test
05_01_00084,valid
05_01_00085,test
05_01_00086,test
05_01_00087,test
05_01_00088,valid
05_01_00089,valid
05_01_00090,valid
05_01_00091,test
05_01_00092,valid
05_01_00093,valid
05_01_00094,test
05_01_00095,valid
05_01_00096,valid
05_01_00097,test
05_01_00098,valid
05_01_00099,valid
05_01_00100,valid
05_01_00101,valid
05_01_00102,test
05_01_00103,valid
05_01_00104,test
05_01_00105,valid
05_01_00106,valid
05_01_00107,valid
05_01_00108,test
05_01_00109,valid
05_01_00110,test
05_01_00111,valid
05_01_00112,valid
05_01_00113,valid
05_01_00114,valid
05_01_00115,valid
05_01_00116,valid
05_01_00117,valid
05_01_00118,valid
05_01_00119,valid
05_01_00120,valid
05_01_00121,valid
05_01_00122,valid
05_01_00123,valid
05_01_00124,valid
05_01_00125,valid
05_01_00126,valid
05_01_00127,valid
05_01_00128,valid
05_01_00129,valid
05_01_00130,valid
05_01_00131,valid
05_01_00132,valid
05_01_00133,test
05_01_00134,valid
05_01_00135,valid
05_01_00136,valid
05_01_00137,valid
05_01_00138,valid
05_01_00139,valid
05_01_00140,valid
05_01_00141,valid
05_01_00142,test
05_01_00143,valid
05_01_00144,valid
05_01_00145,valid
05_01_00146,valid
05_01_00147,valid
05_01_00148,valid
05_01_00149,test
05_01_00150,valid
05_01_00151,valid
05_01_00152,valid
05_01_00153,valid
05_01_00154,valid
05_01_00155,test
05_01_00156,valid
05_01_00157,valid
05_01_00158,valid
05_01_00159,valid
05_01_00160,valid
05_01_00161,test
05_01_00162,valid
05_01_00163,valid
05_01_00164,valid
05_01_00165,test
05_01_00166,valid
05_01_00167,valid
05_01_00168,valid
05_01_00169,valid
05_01_00170,valid
05_01_00171,valid
